,X,Y,Code,Suburb,AreaKm2,Population,Density,Density_Norm,Income,Income_Norm,Earthquake,Earthquake_Norm,Hospital,Hospital_Norm,Water,Water_Norm
2,150.8612028,-33.870091,10002,Abbotsbury,4.9788,4251,853.8201976,0.041078329,5097,0.599505999,0,0,0,0,5,0.008264463
3,151.1292403,-33.8506087,10003,Abbotsford (NSW),1.018,5377,5281.925344,0.25411986,5595,0.658080452,0,0,3,0.04109589,13,0.021487603
14,150.9137106,-33.73355415,10014,Acacia Gardens,1.0013,3799,3794.067712,0.182537217,1066,0.125382263,0,0,1,0.01369863,7,0.011570248
21,150.7024339,-33.62239849,10021,Agnes Banks,15.475,911,58.86914378,0.002832266,1618,0.190308163,0,0,6,0.082191781,15,0.024793388
22,150.8332242,-34.08599289,10022,Airds,2.3808,2927,1229.418683,0.05914883,5059,0.595036462,0,0,0,0,2,0.003305785
30,151.1927828,-33.90985014,10030,Alexandria,3.5156,8264,2350.665605,0.113093385,4076,0.479416608,0,0,2,0.02739726,21,0.034710744
31,151.0241728,-33.98672737,10031,Alfords Point,2.5665,3112,1212.546269,0.058337077,3012,0.354269584,0,0,4,0.054794521,13,0.021487603
34,151.3986489,-33.26817294,10034,Alison (Central Coast - NSW),1.3958,95,68.06132684,0.003274513,867,0.101976006,0,0,0,0,1,0.001652893
36,151.2481311,-33.76931071,10036,Allambie Heights,6.6746,7006,1049.650915,0.050499984,4427,0.520701012,0,0,3,0.04109589,25,0.041322314
38,151.1142862,-33.97275089,10038,Allawah,0.5837,5710,9782.422477,0.470644257,4381,0.51529052,0,0,1,0.01369863,19,0.031404959
44,150.5367955,-34.40871603,10044,Alpine,23.0329,141,6.121678121,0.000294521,0,0,0,0,11,0.150684932,7,0.011570248
49,150.7965561,-34.08941564,10049,Ambarvale,2.8822,7378,2559.850114,0.123157506,5657,0.665372853,0,0,0,0,1,0.001652893
61,151.171369,-33.88083325,10061,Annandale (NSW),1.4931,9452,6330.453419,0.304565822,6499,0.764408375,0,0,0,0,18,0.029752066
62,150.9475579,-33.65759176,10062,Annangrove,10.2464,1399,136.5357589,0.006568902,5659,0.665608092,0,0,9,0.123287671,1,0.001652893
63,150.808861,-34.20853078,10063,Appin (NSW),102.0551,2633,25.79978855,0.001241259,2648,0.311456128,2.2,0.511627907,2,0.02739726,5,0.008264463
72,151.0671141,-33.61069053,10072,Arcadia (NSW),22.4088,1384,61.76145086,0.002971419,1417,0.166666667,0,0,6,0.082191781,14,0.023140496
86,151.1476048,-33.93935179,10086,Arncliffe,2.9429,10590,3598.491284,0.173127797,5311,0.624676547,0,0,2,0.02739726,19,0.031404959
87,150.8829559,-33.79053801,10087,Arndell Park,2.0008,32,15.99360256,0.000769472,4,0.000470478,0,0,0,0,2,0.003305785
90,151.1860022,-33.81095335,10090,Artarmon,2.5348,9525,3757.692915,0.180787182,7467,0.878263938,0,0,1,0.01369863,18,0.029752066
93,151.1188633,-33.90021723,10093,Ashbury,1.0312,3326,3225.368503,0.155176406,2819,0.331569043,0,0,2,0.02739726,14,0.023140496
97,150.8998504,-33.915984,10097,Ashcroft,1.1539,3581,3103.388509,0.1493078,4003,0.470830393,0,0,1,0.01369863,2,0.003305785
98,151.1261957,-33.88871138,10098,Ashfield (NSW),3.4143,23839,6982.104677,0.335917558,5895,0.693366267,0,0,3,0.04109589,14,0.023140496
103,151.116306,-33.68705495,10103,Asquith,3.5017,3378,964.6743011,0.046411655,5138,0.604328393,0,0,0,0,16,0.026446281
106,151.0262029,-33.85469966,10106,Auburn (NSW),8.5637,37370,4363.767997,0.209946192,3795,0.446365561,0,0,0,0,5,0.008264463
108,150.9291209,-34.30166675,10108,Austinmer,3.3382,2560,766.8803547,0.036895548,3121,0.367090096,0,0,0,0,10,0.016528926
109,150.8081274,-33.92350796,10109,Austral,17.6607,3022,171.1143952,0.008232522,2180,0.256410256,0,0,5,0.068493151,6,0.009917355
111,151.3270111,-33.62945365,10111,Avalon Beach,5.1313,9908,1930.894705,0.092897695,3388,0.398494472,0,0,5,0.068493151,26,0.042975207
114,151.4276206,-33.47025171,10114,Avoca Beach,4.4418,4585,1032.239182,0.049662284,2014,0.236885439,0,0,4,0.054794521,14,0.023140496
132,150.745209,-33.88201419,10132,Badgerys Creek,26.981,229,8.487454134,0.000408342,19,0.002234768,0,0,11,0.150684932,2,0.003305785
153,151.261783,-33.79475768,10153,Balgowlah,1.959,7963,4064.828994,0.195563872,5456,0.641731357,0,0,0,0,26,0.042975207
154,151.2651897,-33.80687301,10154,Balgowlah Heights,1.6838,3345,1986.577978,0.095576685,5456,0.641731357,0,0,1,0.01369863,26,0.042975207
155,150.8710997,-34.38657475,10155,Balgownie,3.6874,5529,1499.430493,0.072139427,5503,0.647259468,0,0,2,0.02739726,10,0.016528926
164,151.1798571,-33.85824612,10164,Balmain,1.5378,10447,6793.471193,0.326842171,4034,0.474476594,0,0,0,0,18,0.029752066
165,151.1935133,-33.85630637,10165,Balmain East,0.343,1937,5647.230321,0.271695127,4034,0.474476594,0,0,0,0,19,0.031404959
167,150.515294,-34.30254348,10167,Balmoral (Wingecarribee - NSW),26.3216,424,16.10844326,0.000774997,0,0,0,0,1,0.01369863,7,0.011570248
177,151.0325822,-34.01631723,10177,Bangor (NSW),3.9221,5567,1419.392672,0.06828871,5941,0.698776758,0,0,1,0.01369863,14,0.023140496
178,151.1454358,-33.94647548,10178,Banksia,0.9568,3383,3535.744147,0.170108956,5024,0.590919784,0,0,2,0.02739726,19,0.031404959
179,151.2148743,-33.95615599,10179,Banksmeadow,3.5881,18,5.016582592,0.000241354,0,0,0,0,4,0.054794521,25,0.041322314
180,151.0317642,-33.92053025,10180,Bankstown,6.3927,32116,5023.855335,0.241703797,3812,0.448365091,0,0,0,0,10,0.016528926
181,150.9885473,-33.92261748,10181,Bankstown Aerodrome,3.7302,0,0,0,2862,0.336626676,0,0,0,0,6,0.009917355
188,151.1743199,-33.49167822,10188,Bar Point,10.0358,66,6.576456286,0.000316401,1200,0.14114326,0,0,3,0.04109589,13,0.021487603
191,151.2015609,-33.86054234,10191,Barangaroo,0.2227,190,853.1656938,0.04104684,4737,0.55716302,0,0,1,0.01369863,20,0.033057851
